Designator,Mid X,Mid Y,Roatation,Layer
C1,48.45,-5.16,0,Top
C10,-4.57,-48.77,271,Top
C11,20.32,-44.45,291,Top
C12,39.75,-28.58,330,Top
C2,44.32,20.83,32,Top
C3,28.45,40.39,61,Top
C4,4.06,48.51,90,Top
C5,-20.83,44.2,120,Top
C6,-39.88,27.56,148,Top
C7,-48.26,3.94,180,Top
C8,-43.81,-20.45,208,Top
C9,-27.69,-40,237,Top
J2,32.78,-31.07,226,Top
LED1,48.45,0,0,Top
LED10,0.19,-48.64,272,Top
LED11,24.38,-42.2,300,Top
LED12,42.23,-24.51,328,Top
LED2,42.16,24.29,31,Top
LED3,24.32,42.17,61,Top
LED4,-0.04,48.46,90,Top
LED5,-24.23,42.08,122,Top
LED6,-42.04,24.19,148,Top
LED7,-48.52,-0.06,179,Top
LED8,-41.89,-24.17,210,Top
LED9,-24.17,-42.24,240,Top
R1,49.93,-9.12,72,Top
