Designator,Mid X,Mid Y,Rotation,Layer
C1,30.08,5.98,270,Top
C10,-0.31,6.44,180,Top
C11,-0.31,-20.12,180,Top
C12,-7.49,19,180,Top
C13,-7.43,-0.22,180,Top
C14,-7.42,-25.8,180,Top
C15,-13.84,22.88,180,Top
C16,-13.88,3.23,180,Top
C17,-13.9,-16.54,180,Top
C18,-24.13,18.32,0,Top
C19,-26.74,-3.59,180,Top
C2,19.76,18.12,180,Top
C20,-23.82,-18.07,0,Top
C3,19.51,3.46,180,Top
C4,19.86,-18.39,0,Top
C5,13.28,22.91,180,Top
C6,13.28,9.64,180,Top
C7,13.47,-9.91,180,Top
C8,13.16,-23.05,180,Top
C9,-0.25,26.35,180,Top
LED1,26.29,-13.84,270,Top
LED10,19.94,-7.53,270,Top
LED11,19.94,-14.85,270,Top
LED12,19.94,-22.16,270,Top
LED13,13.59,-26.36,270,Top
LED14,13.59,-19.8,270,Top
LED15,13.59,-13.24,270,Top
LED16,13.59,-6.68,270,Top
LED17,13.59,-0.12,270,Top
LED18,13.59,6.44,270,Top
LED19,13.59,13,270,Top
LED2,26.29,-7,270,Top
LED20,13.59,19.56,270,Top
LED21,13.59,26.12,270,Top
LED22,7.11,28.57,270,Top
LED23,7.11,22.18,270,Top
LED24,7.11,15.78,270,Top
LED25,7.11,9.38,270,Top
LED26,7.11,2.98,270,Top
LED27,7.11,-3.42,270,Top
LED28,7.11,-9.82,270,Top
LED29,7.11,-16.22,270,Top
LED3,26.29,-0.15,270,Top
LED30,7.11,-22.62,270,Top
LED31,7.11,-29.02,270,Top
LED32,0,-30.1,270,Top
LED33,0,-23.45,270,Top
LED34,0,-16.81,270,Top
LED35,0,-10.16,270,Top
LED36,0,-3.51,270,Top
LED37,0,3.13,270,Top
LED38,0,9.78,270,Top
LED39,0,16.43,270,Top
LED4,26.29,6.69,270,Top
LED40,0,23.07,270,Top
LED41,0,29.72,270,Top
LED42,-7.11,28.57,270,Top
LED43,-7.11,22.18,270,Top
LED44,-7.11,15.78,270,Top
LED45,-7.11,9.38,270,Top
LED46,-7.11,2.98,270,Top
LED47,-7.11,-3.42,270,Top
LED48,-7.11,-9.82,270,Top
LED49,-7.11,-16.22,270,Top
LED5,26.29,13.54,270,Top
LED50,-7.11,-22.62,270,Top
LED51,-7.11,-29.02,270,Top
LED52,-13.59,-26.36,270,Top
LED53,-13.59,-19.8,270,Top
LED54,-13.59,-13.24,270,Top
LED55,-13.59,-6.68,270,Top
LED56,-13.59,-0.12,270,Top
LED57,-13.59,6.44,270,Top
LED58,-13.59,13,270,Top
LED59,-13.59,19.56,270,Top
LED6,19.94,21.72,270,Top
LED60,-13.59,26.12,270,Top
LED61,-19.94,21.72,270,Top
LED62,-19.94,14.4,270,Top
LED63,-19.94,7.09,270,Top
LED64,-19.94,-0.22,270,Top
LED65,-19.94,-7.53,270,Top
LED66,-19.94,-14.85,270,Top
LED67,-19.94,-22.16,270,Top
LED68,-26.29,13.54,270,Top
LED69,-26.29,6.69,270,Top
LED7,19.94,14.4,270,Top
LED70,-26.29,-0.15,270,Top
LED71,-26.29,-7,270,Top
LED72,-26.29,-13.84,270,Top
LED8,19.94,7.09,270,Top
LED9,19.94,-0.22,270,Top
